Time	ID	Smoke	Temp
1000	1	0	30.99551665
1000	2	0	32.61403901
1000	3	0	34.24155482
1000	4	0	33.93040826
1000	5	0	32.16053975
2000	1	0	31.42
2000	2	0	33.05
2000	3	0	34.80
2000	4	0	34.10
2000	5	0	32.90
3000	1	0	32.10
3000	2	0	33.70
3000	3	1	36.20
3000	4	0	34.55
3000	5	0	33.45
4000	1	0	33.05
4000	2	0	34.20
4000	3	1	37.10
4000	4	0	35.00
4000	5	0	34.10
5000	1	0	33.80
5000	2	0	34.90
5000	3	1	37.85
5000	4	0	35.60
5000	5	0	34.70
6000	1	0	34.50
6000	2	0	35.40
6000	3	1	38.20
6000	4	0	36.10
6000	5	0	35.30
7000	1	0	35.10
7000	2	0	35.80
7000	3	1	38.50
7000	4	0	36.50
7000	5	0	35.80
8000	1	0	34.70
8000	2	0	35.50
8000	3	0	37.90
8000	4	0	36.00
8000	5	0	35.40
9000	1	0	34.00
9000	2	0	35.10
9000	3	0	37.20
9000	4	0	35.50
9000	5	0	34.90
10000	1	0	33.40
10000	2	0	34.60
10000	3	0	36.50
10000	4	0	35.00
10000	5	0	34.30
